Apparent_Magnitude,Redshift,FWHM_pixels,Color_g_minus_r,Ellipticity,Signal_to_Noise,Label
21.532,0.754313,3.882,0.985,0.51,28.65,1
21.815,0.599605,4.742,1.169,0.476,22.23,1
20.89,0.307915,4.911,1.269,0.291,26.29,1
21.013,0.207518,5.601,1.139,0.314,40.08,1
21.564,0.815908,3.649,1.586,0.362,22.99,1
14.524,9.8e-05,1.071,0.493,0.013,58.43,0
20.15,0.465468,3.621,1.405,0.644,26.37,1
15.401,0.645704,3.81,1.639,0.448,28.57,1
22.539,0.712257,4.676,1.256,0.647,22.27,1
22.588,0.470043,1.639,1.796,0.261,33.85,1
19.787,0.181462,4.998,1.706,0.281,32.16,1
20.043,0.228603,2.356,1.008,0.287,32.95,1
18.25,0.259705,3.035,1.045,0.579,26.38,1
17.87,0.723863,4.613,1.441,0.25,28.86,1
14.964,0.316609,4.272,0.248,0.457,17.14,1
18.8,0.215317,5.168,1.705,0.427,45.26,1
20.9,0.024474,4.234,1.387,0.522,9.78,1
16.043,0.370391,5.878,1.736,0.433,23.04,1
21.988,0.160062,3.451,1.272,0.27,41.16,1
15.136,1e-06,1.119,0.611,0.039,60.9,0
18.69,0.509198,3.434,1.303,0.479,39.86,1
19.096,0.528645,1.587,0.812,0.347,12.32,1
19.758,0.274366,3.632,1.41,0.597,31.17,1
16.613,0.62418,5.147,0.979,0.403,30.12,1
18.362,0.702314,4.483,1.109,0.376,58.51,1
24.899,0.651198,4.41,1.108,0.434,30.67,1
15.862,0.083555,3.936,0.739,0.655,25.26,1
21.968,0.321231,5.055,1.732,0.202,42.56,1
17.666,0.305946,3.339,1.487,0.432,40.19,1
20.148,0.47783,0.854,1.486,0.72,14.12,1
16.262,0.402618,5.605,1.181,0.395,25.64,1
21.111,0.255409,5.617,1.539,0.411,18.02,1
19.951,0.264227,5.505,1.203,0.032,23.26,1
23.664,0.30702,4.292,0.663,0.431,13.51,1
20.855,0.391663,4.288,1.141,0.375,15.87,1
21.35,0.354991,2.674,1.725,0.43,45.39,1
18.615,0.113314,5.021,1.575,0.43,12.86,1
18.923,0.370717,5.16,1.008,0.355,23.68,1
22.384,0.47093,4.725,1.051,0.452,25.1,1
21.474,0.523624,4.559,1.184,0.348,23.36,1
19.904,0.280442,3.023,1.483,0.46,21.26,1
16.576,0.722072,3.15,1.449,0.259,28.62,1
20.681,0.583577,3.869,1.282,0.427,35.73,1
22.058,0.198822,4.583,1.081,0.383,4.95,1
20.735,0.476457,4.17,0.939,0.3,26.48,1
20.6,0.226352,4.902,1.409,0.421,30.26,1
17.374,0.533056,4.327,1.514,0.713,36.63,1
18.501,0.064993,4.686,0.791,0.224,47.46,1
17.923,0.621846,5.607,1.301,0.697,11.79,1
23.277,0.101957,4.985,1.061,0.389,28.95,1
18.604,0.329414,5.902,1.127,0.46,20.56,1
24.012,0.564444,3.008,1.293,0.451,42.42,1
19.581,0.521521,3.133,1.475,0.576,40.11,1
17.022,0.107844,4.433,1.288,0.258,42.81,1
23.196,0.445956,4.579,0.573,0.673,37.33,1
19.033,0.734201,3.699,1.633,0.185,19.83,1
20.872,0.798422,4.523,1.312,0.282,45.09,1
22.304,0.145403,1.453,1.013,0.543,23.02,1
20.113,0.47975,3.352,1.161,0.438,40.85,1
18.529,0.390182,3.658,1.351,0.635,35.32,1
20.45,0.427892,4.562,1.789,0.318,34.48,1
20.736,0.31042,4.547,1.652,0.429,35.92,1
20.231,0.299509,4.906,0.639,0.399,26.28,1
19.757,0.527476,4.512,0.826,0.471,34.66,1
20.683,0.201876,6.277,1.267,0.424,32.49,1
18.565,0.35637,3.38,1.37,0.201,38.3,1
18.869,0.455984,3.31,1.136,0.249,29.3,1
16.764,0.22442,3.366,0.935,0.405,11.61,1
21.733,0.167631,3.512,1.324,0.529,37.36,1
20.607,0.265205,4.105,1.578,0.39,18.12,1
18.521,0.242717,5.705,1.211,0.327,10.59,1
20.291,0.737986,4.519,1.643,0.508,23.27,1
15.484,8e-06,1.248,0.67,0.015,54.33,0
18.925,0.389474,4.18,1.181,0.548,15.66,1
13.949,0.152213,4.542,1.273,0.542,27.82,1
20.242,0.505525,3.027,1.634,0.587,31.9,1
17.753,0.448097,4.413,0.894,0.413,28.05,1
18.269,0.271294,3.93,1.466,0.298,34.44,1
18.065,0.253129,1.647,1.238,0.136,30.31,1
22.045,0.358255,3.993,1.408,0.4,39.85,1
16.416,0.419596,4.678,1.279,0.718,54.24,1
16.187,0.000176,0.815,0.493,0.04,42.8,0
23.887,0.398606,3.788,1.46,0.266,24.47,1
22.93,0.150409,3.248,1.17,0.245,48.23,1
24.402,0.000705,3.329,1.388,0.522,29.02,1
22.808,0.513881,4.185,1.209,0.438,25.12,1
18.867,0.218246,3.072,1.405,0.469,28.12,1
18.38,0.444546,4.141,1.28,0.19,22.23,1
25.43,0.276034,5.444,0.727,0.488,33.74,1
19.772,0.332036,5.59,1.045,0.292,44.33,1
17.867,0.321161,5.004,1.668,0.473,30.27,1
19.825,0.593022,4.071,1.191,0.492,28.62,1
22.212,0.0539,4.835,1.44,0.385,40.04,1
20.644,0.37991,4.202,0.809,0.402,23.32,1
21.091,0.234448,2.812,1.041,0.561,39.82,1
21.03,0.3996,3.517,1.331,0.555,30.73,1
17.076,0.269582,5.8,1.256,0.255,32.1,1
21.064,0.35142,3.118,1.033,0.294,48.85,1
20.448,0.292792,3.296,1.332,0.577,36.04,1
18.006,0.000359,0.985,0.619,0.004,50.15,0
18.783,0.50005,3.74,1.378,0.674,21.26,1
22.51,0.316352,3.026,1.211,0.17,31.19,1
15.075,0.142235,3.081,0.791,0.382,19.83,1
23.632,0.577692,4.896,0.798,0.41,41.29,1
20.772,0.105566,4.072,1.147,0.547,30.34,1
20.516,0.489338,2.651,1.401,0.317,20.29,1
23.333,0.665828,3.869,1.202,0.452,44.3,1
17.253,0.490054,4.803,1.004,0.255,54.38,1
16.932,0.000281,1.381,0.312,0.002,37.28,0
19.709,0.37154,4.156,1.134,0.342,30.27,1
22.41,0.267653,3.651,0.97,0.391,24.67,1
24.481,0.629848,3.568,1.355,0.326,57.75,1
13.401,0.0001,1.036,0.669,0.042,38.05,0
22.022,0.137548,2.677,1.501,0.465,39.86,1
20.961,0.287164,4.854,1.554,0.488,17.16,1
14.269,0.290929,4.131,0.447,0.238,34.11,1
16.594,0.097345,1.954,1.228,0.145,41.91,1
17.681,0.429675,3.0,0.719,0.285,38.72,1
21.235,0.461021,4.688,1.154,0.45,20.24,1
22.038,0.257738,4.531,0.985,0.16,24.28,1
16.186,7.5e-05,1.051,0.419,0.031,60.73,0
19.051,0.253281,4.986,1.459,0.502,30.23,1
22.524,0.516463,3.025,0.969,0.317,36.95,1
19.495,0.490385,2.673,1.666,0.391,11.07,1
21.969,0.051323,4.064,0.629,0.672,40.02,1
19.899,0.613579,4.271,1.104,0.361,43.26,1
12.413,0.00026,1.348,0.268,0.031,79.39,0
18.944,0.239009,2.961,1.159,0.39,19.62,1
20.123,0.37931,4.638,1.285,0.486,24.84,1
23.01,0.263512,1.735,1.316,0.633,20.47,1
19.69,0.679831,2.771,1.383,0.112,21.09,1
19.954,0.345449,2.905,1.06,0.288,22.72,1
16.993,0.33423,4.874,1.47,0.211,40.96,1
21.259,0.46983,3.905,1.042,0.464,33.08,1
15.361,0.000356,1.195,0.551,0.034,26.4,0
22.055,0.444991,4.15,1.113,0.568,20.91,1
22.702,0.464957,4.774,0.858,0.411,14.96,1
19.633,0.676118,4.969,1.15,0.783,42.59,1
20.874,0.459348,2.553,1.085,0.395,40.8,1
16.766,2e-05,0.829,0.992,0.032,47.9,0
23.154,0.600855,3.694,1.589,0.451,32.65,1
18.903,0.409357,2.282,1.182,0.371,34.77,1
19.049,0.183011,5.116,1.556,0.29,47.14,1
21.554,0.088138,2.659,1.244,0.516,40.19,1
19.899,0.221252,3.195,1.139,0.428,27.76,1
22.905,0.504102,3.539,0.96,0.546,25.3,1
16.973,0.52968,3.145,1.019,0.267,24.43,1
23.06,0.086088,3.59,0.785,0.443,27.61,1
20.812,0.035828,4.567,1.309,0.467,29.51,1
20.363,0.500665,4.601,0.648,0.369,10.68,1
20.484,0.151243,5.676,1.295,0.534,44.77,1
19.775,0.136872,4.417,1.294,0.432,36.01,1
21.848,0.351479,3.323,1.408,0.356,36.65,1
20.226,0.530107,5.042,1.268,0.509,25.6,1
18.121,0.591373,3.938,1.47,0.354,43.27,1
16.655,0.495213,3.244,1.439,0.294,35.55,1
19.942,0.434546,5.313,1.22,0.512,37.2,1
18.814,0.079725,4.035,1.153,0.522,29.38,1
17.126,0.620979,3.542,0.756,0.421,33.27,1
21.096,0.348429,5.725,1.121,0.063,24.23,1
18.83,0.352381,2.891,0.806,0.001,27.91,1
20.209,0.430143,3.875,1.308,0.411,33.62,1
20.296,0.042698,2.931,1.575,0.468,38.26,1
18.326,0.747534,1.662,1.448,0.22,37.07,1
19.105,0.587625,3.908,0.656,0.497,27.13,1
21.002,0.347859,4.35,1.29,0.599,28.19,1
18.158,0.421446,3.587,1.401,0.44,28.21,1
15.413,0.00022,1.461,0.189,0.013,58.78,0
17.861,0.778488,3.752,1.782,0.363,20.93,1
24.164,0.419353,4.153,1.14,0.365,24.45,1
14.31,0.350837,2.763,1.292,0.276,31.27,1
20.215,0.306689,3.225,1.457,0.227,36.06,1
22.77,0.370664,4.594,1.19,0.344,28.34,1
18.974,0.675096,3.703,0.992,0.605,44.3,1
18.827,0.45805,4.388,1.104,0.384,15.18,1
20.502,0.526011,3.751,1.076,0.195,11.58,1
24.343,0.561945,4.538,0.689,0.291,41.03,1
18.725,6e-06,1.191,0.44,0.007,45.06,0
18.92,0.94681,5.269,1.397,0.627,32.97,1
21.194,0.505943,2.367,1.1,0.364,18.82,1
20.428,0.215276,3.763,1.464,0.716,23.93,1
22.075,0.054942,5.244,1.291,0.53,28.29,1
15.344,0.000185,1.291,0.303,0.031,30.55,0
18.441,0.424845,6.232,0.993,0.704,33.74,1
20.959,0.226875,4.018,1.394,0.433,11.84,1
13.447,0.000253,1.09,0.331,0.031,40.56,0
16.936,0.722521,3.743,0.968,0.572,50.87,1
17.811,0.657604,2.415,1.23,0.368,34.48,1
16.359,0.465452,4.509,1.365,0.484,27.76,1
17.846,0.483161,2.587,1.136,0.444,32.93,1
22.168,0.340267,4.378,0.87,0.577,42.87,1
21.033,0.572062,7.051,1.289,0.328,39.31,1
19.241,0.215257,3.944,0.868,0.412,32.99,1
22.295,0.604275,3.565,1.185,0.496,37.42,1
20.42,0.000153,1.282,0.494,0.035,74.99,0
24.105,0.466876,2.841,0.811,0.268,34.04,1
21.909,0.37863,3.195,1.16,0.675,28.17,1
24.818,0.410718,3.716,1.617,0.321,32.83,1
24.802,0.2202,4.352,1.153,0.376,16.71,1
20.032,0.16523,5.33,1.065,0.232,34.54,1
18.341,0.514721,4.745,0.878,0.475,17.17,1
18.021,0.494707,4.454,1.267,0.488,20.26,1
18.771,0.026228,2.543,1.224,0.289,27.53,1
22.055,0.280736,3.159,1.205,0.366,18.78,1
21.804,0.102836,3.867,1.774,0.668,21.3,1
21.101,0.344216,3.956,1.649,0.325,36.17,1
21.107,0.305128,5.835,1.249,0.333,37.09,1
15.411,5e-06,0.969,0.353,0.038,69.74,0
20.165,0.47351,3.966,0.731,0.406,26.64,1
20.437,0.230099,2.381,1.573,0.517,23.41,1
19.253,0.451231,3.346,1.279,0.495,53.97,1
20.059,0.260282,4.894,1.24,0.538,31.15,1
21.141,0.53442,5.474,1.105,0.341,25.27,1
21.829,0.375383,4.904,0.756,0.336,34.77,1
22.738,0.337627,5.031,1.612,0.637,25.36,1
20.744,0.431509,2.889,1.173,0.322,31.45,1
20.201,0.25957,2.646,1.479,0.4,39.56,1
17.84,0.259884,3.995,1.366,0.459,32.64,1
19.32,0.565045,4.044,1.686,0.269,8.84,1
22.765,0.457548,2.808,1.299,0.479,33.9,1
20.463,0.48853,4.474,1.227,0.35,44.63,1
19.144,0.502368,3.883,1.333,0.639,32.0,1
19.35,0.701197,3.149,1.134,0.291,20.84,1
16.678,0.335322,4.581,0.888,0.726,28.03,1
21.309,0.272849,2.459,0.758,0.386,39.1,1
25.704,0.574865,3.559,1.097,0.491,39.65,1
18.086,0.000167,0.881,0.707,0.035,44.18,0
20.416,0.37729,4.442,0.925,0.665,17.35,1
20.842,0.427166,3.498,1.517,0.283,25.68,1
19.742,0.047737,3.815,1.351,0.603,20.92,1
20.913,0.415856,1.782,1.019,0.609,25.4,1
19.988,0.497523,4.897,1.47,0.411,27.81,1
19.248,0.650283,4.595,1.66,0.328,24.45,1
16.984,0.000237,1.088,0.33,0.009,60.91,0
21.118,0.603292,5.67,1.368,0.315,25.57,1
12.886,0.252026,4.669,1.035,0.571,35.37,1
18.358,0.282515,3.766,1.662,0.425,30.71,1
18.942,0.329101,4.725,1.362,0.5,40.91,1
20.557,0.422103,4.856,1.081,0.263,17.09,1
18.728,0.636636,3.303,1.105,0.241,15.73,1
20.874,0.281125,2.772,1.063,0.319,46.72,1
16.185,9.8e-05,1.344,0.689,0.011,50.15,0
19.397,0.183866,1.974,1.316,0.611,26.89,1
21.472,0.395687,2.556,1.31,0.157,32.81,1
19.465,0.606348,4.173,1.315,0.341,19.07,1
19.37,0.597883,2.81,1.053,0.157,28.92,1
13.166,0.000187,1.492,0.361,0.008,49.34,0
19.674,0.48437,3.067,1.634,0.558,32.47,1
16.831,0.265531,3.403,1.281,0.381,35.81,1
17.574,0.630808,4.954,0.977,0.494,18.07,1
19.519,0.118679,3.357,1.154,0.268,34.33,1
21.224,0.40501,5.032,1.359,0.411,52.65,1
18.481,0.4622,5.425,1.935,0.264,18.33,1
9.512,0.000113,1.115,0.108,0.031,35.24,0
19.015,0.370607,2.265,1.697,0.629,38.74,1
22.504,0.279489,5.248,0.861,0.275,47.48,1
18.592,0.512555,3.32,1.337,0.543,34.69,1
19.88,0.162365,4.65,1.433,0.331,26.54,1
18.346,0.021772,5.276,1.446,0.266,16.39,1
20.497,0.691061,3.531,1.367,0.288,26.3,1
15.546,0.000269,1.17,0.735,0.049,40.71,0
20.531,0.645791,3.108,1.023,0.54,44.01,1
20.872,0.546779,4.814,1.629,0.566,32.13,1
18.611,0.336208,3.427,1.096,0.495,52.04,1
24.433,0.005,5.968,1.049,0.624,20.35,1
20.175,0.631565,3.862,1.38,0.334,30.32,1
18.537,0.677414,3.308,0.977,0.506,30.2,1
13.058,0.000209,1.142,0.295,0.05,65.48,0
17.229,0.251207,4.956,0.931,0.473,22.08,1
15.22,0.850722,3.571,1.107,0.562,27.6,1
20.711,0.49651,2.732,0.912,0.279,32.12,1
20.073,0.536371,3.802,1.108,0.258,38.74,1
24.418,0.49177,2.099,1.121,0.244,23.43,1
19.845,0.345627,5.649,1.278,0.296,23.28,1
17.988,0.475434,4.05,1.12,0.088,27.96,1
21.02,0.442358,4.222,1.344,0.162,42.78,1
19.623,0.528488,3.471,1.437,0.344,43.38,1
21.03,0.720905,4.656,1.484,0.376,28.57,1
18.015,0.40807,4.064,1.069,0.152,29.28,1
15.745,6.3e-05,1.118,0.293,0.019,39.18,0
22.753,0.376838,4.683,1.765,0.248,36.32,1
23.78,0.262117,5.199,0.915,0.422,23.45,1
22.025,0.147862,4.945,1.301,0.412,21.97,1
17.342,0.714029,4.885,1.284,0.291,17.35,1
22.486,0.327866,6.447,2.032,0.23,28.44,1
18.149,0.689025,4.87,1.088,0.257,18.83,1
19.425,0.732822,2.369,0.839,0.64,24.12,1
18.676,0.303366,3.043,1.444,0.383,29.1,1
19.321,0.292951,2.818,0.859,0.547,41.27,1
21.017,0.282066,4.332,0.574,0.413,21.96,1
21.311,0.533217,4.448,1.348,0.386,46.51,1
12.92,5.1e-05,1.365,0.296,0.02,80.48,0
16.822,0.23666,3.312,0.931,0.23,25.01,1
21.759,0.22152,5.462,0.646,0.317,22.73,1
18.508,0.095797,4.701,1.01,0.44,17.58,1
15.027,0.349817,4.37,0.98,0.386,21.31,1
16.933,1.014698,2.675,1.553,0.515,20.91,1
15.06,0.456358,4.877,1.175,0.648,41.84,1
18.568,0.278565,4.078,1.489,0.516,25.96,1
15.833,0.505393,4.416,1.151,0.253,47.46,1
20.725,0.179268,2.822,0.745,0.677,25.52,1
21.854,0.285229,3.463,1.482,0.539,49.6,1
14.873,0.000161,1.238,0.572,0.008,74.89,0
21.751,0.663993,5.263,1.26,0.548,29.59,1
16.831,0.397711,4.254,1.069,0.209,35.38,1
21.313,0.40873,3.332,1.706,0.446,38.62,1
18.812,0.408351,4.07,1.035,0.391,24.16,1
19.288,0.687971,5.462,1.312,0.297,23.2,1
20.208,0.301087,4.301,1.298,0.579,30.12,1
17.562,0.448449,3.91,1.617,0.243,45.07,1
21.377,0.386925,4.701,1.133,0.327,45.64,1
17.687,0.162603,3.088,0.482,0.485,23.82,1
16.759,9.2e-05,1.325,0.963,0.044,46.17,0
17.692,0.251406,6.335,1.263,0.511,37.22,1
18.169,0.481495,4.934,1.218,0.497,39.16,1
20.809,0.099596,4.764,0.822,0.319,38.43,1
14.477,0.622764,3.833,1.251,0.17,23.89,1
15.612,0.000185,1.467,0.388,0.042,66.4,0
18.128,0.425737,4.25,1.109,0.309,28.93,1
17.828,0.000171,1.264,0.802,0.003,59.64,0
18.442,0.448395,5.031,1.157,0.667,29.87,1
19.394,0.224704,3.205,1.102,0.639,30.17,1
20.489,0.584016,4.558,1.483,0.375,22.87,1
20.229,0.184952,5.373,0.954,0.406,34.31,1
14.432,2e-05,0.973,0.541,0.045,71.05,0
19.449,0.245063,3.913,0.706,0.517,38.98,1
16.702,0.413983,4.111,1.334,0.409,23.38,1
20.447,0.527631,5.023,0.642,0.525,34.06,1
20.351,0.2227,5.213,0.999,0.249,38.77,1
19.157,0.466594,2.583,0.959,0.537,30.76,1
20.885,0.494815,3.021,1.702,0.646,21.36,1
20.699,0.378316,5.428,0.965,0.203,35.72,1
24.242,0.497459,5.663,0.367,0.205,21.0,1
18.562,0.04659,2.23,1.185,0.301,33.17,1
16.447,0.339206,2.999,1.365,0.255,21.08,1
22.444,0.467343,4.704,0.894,0.505,25.94,1
19.704,0.447536,3.12,1.8,0.43,33.44,1
24.911,0.233694,4.002,1.455,0.507,34.81,1
19.662,0.167888,2.715,1.102,0.191,25.27,1
17.639,0.570814,4.176,1.519,0.476,16.87,1
18.895,0.188503,2.335,1.509,0.563,28.56,1
19.256,0.442746,3.903,0.999,0.37,31.99,1
22.493,0.078942,2.073,1.285,0.432,27.97,1
17.427,0.442069,5.772,0.95,0.189,43.25,1
21.355,0.269861,2.156,1.006,0.354,11.55,1
23.238,0.816125,4.544,0.998,0.264,12.88,1
17.704,0.310952,2.658,1.256,0.267,35.39,1
17.768,0.000375,1.103,0.648,0.005,45.66,0
23.099,0.220955,4.025,0.915,0.177,26.55,1
18.82,0.000467,1.238,0.44,0.021,64.87,0
21.974,0.294329,4.148,1.14,0.361,26.88,1
21.233,0.039193,3.043,1.637,0.271,38.38,1
18.806,0.573693,4.22,1.39,0.424,25.35,1
20.9,0.178338,4.132,1.28,0.434,43.06,1
21.401,0.434526,5.848,1.098,0.432,12.2,1
25.559,0.452309,4.677,1.561,0.34,39.27,1
18.724,0.000115,0.81,0.486,0.027,65.36,0
20.87,0.534242,2.719,0.716,0.281,39.12,1
19.88,0.213896,4.39,1.26,0.396,32.67,1
23.535,0.578135,5.156,1.557,0.567,35.29,1
17.757,0.190889,6.562,1.348,0.475,14.63,1
21.539,0.044614,5.563,0.944,0.693,31.26,1
12.571,0.540395,3.913,0.64,0.367,27.41,1
18.221,0.208422,2.252,1.002,0.519,36.18,1
16.698,0.393948,6.012,0.966,0.286,9.72,1
18.598,6e-05,1.174,0.77,0.029,47.11,0
20.075,0.023751,3.193,0.561,0.183,46.4,1
24.44,0.666049,4.08,1.082,0.478,39.37,1
20.9,0.105303,1.209,1.31,0.455,14.37,1
16.657,0.328327,3.026,1.171,0.392,43.06,1
19.806,0.497911,4.432,1.637,0.704,28.99,1
19.31,0.277748,3.627,0.822,0.502,32.93,1
23.427,0.732765,3.549,0.765,0.407,45.07,1
16.849,0.620624,3.614,1.542,0.314,36.76,1
19.791,0.50475,3.639,1.388,0.652,26.1,1
22.198,0.580076,3.68,1.065,0.267,44.14,1
16.2,9e-06,0.692,0.588,0.043,46.06,0
19.254,0.458358,5.525,1.398,0.381,19.48,1
19.936,0.223881,3.513,1.06,0.344,37.61,1
18.506,0.637091,3.705,0.958,0.309,24.0,1
19.502,0.365644,5.362,1.244,0.364,25.83,1
18.193,0.552712,3.868,0.711,0.252,45.52,1
25.508,0.495496,5.767,0.538,0.223,21.99,1
18.802,0.207285,3.165,1.367,0.66,14.21,1
20.658,0.436727,3.101,0.979,0.488,22.79,1
20.384,0.310076,4.061,1.157,0.609,36.67,1
18.726,0.17227,4.226,1.348,0.54,47.82,1
20.002,0.247387,5.285,1.388,0.504,35.28,1
18.44,0.648005,3.303,1.206,0.194,32.26,1
21.016,0.467488,3.317,1.312,0.537,14.12,1
21.074,0.632654,4.459,1.455,0.274,33.33,1
21.177,0.29266,4.03,1.103,0.4,35.31,1
23.39,0.12323,3.576,1.35,0.715,27.62,1
21.837,0.450022,5.187,1.545,0.249,20.69,1
19.348,0.093202,5.513,1.374,0.474,18.7,1
19.724,0.356654,2.929,1.808,0.275,20.67,1
18.252,0.000227,1.121,0.471,0.004,59.34,0
15.541,3e-05,0.977,0.521,0.033,52.7,0
20.767,0.094269,4.519,1.376,0.669,37.71,1
